Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Playoff,Conference,Season
San Antonio Spurs,3202,6999,0.457,696,1977,0.352,2506,5022,0.499,1324,1715,0.772,849,2777,3626,1868,628,460,1078,1408,8424,Yes,West,2017-2018
Dallas Mavericks,3128,7042,0.444,967,2688,0.36,2161,4354,0.496,1167,1530,0.763,666,2717,3383,1858,578,310,1008,1578,8390,No,West,2017-2018
Memphis Grizzlies,3013,6788,0.444,758,2152,0.352,2255,4636,0.486,1361,1732,0.786,779,2544,3323,1767,613,396,1227,1900,8145,No,West,2017-2018
Sacramento Kings,3179,7063,0.45,738,1967,0.375,2441,5096,0.479,1008,1371,0.735,777,2578,3355,1768,643,340,1125,1639,8104,No,West,2017-2018
Golden State Warriors,3532,7140,0.495,982,2562,0.383,2550,4578,0.557,1457,1850,0.788,770,2873,3643,2491,785,555,1211,1585,9503,Yes,West,2016-2017
Houston Rockets,3305,7152,0.462,1181,3306,0.357,2124,3846,0.552,1667,2177,0.766,892,2746,3638,2070,670,352,1240,1634,9458,Yes,West,2016-2017
Denver Nuggets,3377,7194,0.469,870,2365,0.368,2507,4829,0.519,1537,1986,0.774,966,2837,3803,2077,568,323,1226,1567,9161,No,West,2016-2017
Cleveland Cavaliers,3275,6963,0.47,1067,2779,0.384,2208,4184,0.528,1431,1913,0.748,766,2821,3587,1858,539,327,1121,1486,9048,Yes,East,2016-2017
Washington Wizards,3388,7137,0.475,756,2030,0.372,2632,5107,0.515,1421,1812,0.784,843,2671,3514,1956,693,336,1162,1745,8953,Yes,East,2016-2017
Los Angeles Clippers,3242,6820,0.475,841,2245,0.375,2401,4575,0.525,1586,2128,0.745,738,2790,3528,1848,612,347,1062,1626,8911,Yes,West,2016-2017
Boston Celtics,3168,6978,0.454,985,2742,0.359,2183,4236,0.515,1536,1903,0.807,744,2698,3442,2069,617,340,1088,1686,8857,Yes,East,2016-2017
Portland Trail Blazers,3243,7059,0.459,852,2272,0.375,2391,4787,0.499,1513,1940,0.78,830,2750,3580,1733,574,408,1126,1736,8851,Yes,West,2016-2017
Phoenix Suns,3270,7260,0.45,615,1854,0.332,2655,5406,0.491,1676,2159,0.776,976,2712,3688,1604,673,399,1265,2030,8831,No,West,2016-2017
Toronto Raptors,3211,6918,0.464,725,1996,0.363,2486,4922,0.505,1615,2028,0.796,871,2676,3547,1517,677,400,1041,1708,8762,Yes,East,2016-2017
Oklahoma City Thunder,3237,7169,0.452,692,2116,0.327,2545,5053,0.504,1575,2113,0.745,1002,2821,3823,1721,648,408,1230,1715,8741,Yes,West,2016-2017
Brooklyn Nets,3102,6987,0.444,877,2591,0.338,2225,4396,0.506,1592,2020,0.788,721,2879,3600,1756,593,387,1356,1726,8673,No,East,2016-2017
Minnesota Timberwolves,3235,6922,0.467,601,1723,0.349,2634,5199,0.507,1586,1986,0.799,938,2540,3478,1940,654,370,1150,1646,8657,No,West,2016-2017
San Antonio Spurs,3222,6864,0.469,753,1927,0.391,2469,4937,0.5,1440,1806,0.797,821,2777,3598,1954,655,484,1101,1498,8637,Yes,West,2016-2017
Indiana Pacers,3221,6931,0.465,709,1885,0.376,2512,5046,0.498,1467,1811,0.81,742,2702,3444,1844,669,409,1130,1597,8618,Yes,East,2016-2017
Charlotte Hornets,3093,7000,0.442,824,2347,0.351,2269,4653,0.488,1591,1953,0.815,721,2853,3574,1891,571,390,942,1360,8601,No,East,2016-2017
Los Angeles Lakers,3224,7164,0.45,730,2110,0.346,2494,5054,0.493,1397,1853,0.754,933,2636,3569,1716,674,320,1243,1698,8575,No,West,2016-2017
New Orleans Pelicans,3210,7130,0.45,768,2196,0.35,2442,4934,0.495,1368,1825,0.75,703,2879,3582,1869,638,453,1054,1490,8556,No,West,2016-2017
New York Knicks,3244,7256,0.447,704,2022,0.348,2540,5234,0.485,1364,1731,0.788,983,2723,3706,1786,581,455,1139,1668,8556,No,East,2016-2017
Milwaukee Bucks,3182,6715,0.474,720,1946,0.37,2462,4769,0.516,1413,1839,0.768,723,2589,3312,1984,666,436,1145,1660,8497,Yes,East,2016-2017
Miami Heat,3202,7037,0.455,808,2213,0.365,2394,4824,0.496,1248,1768,0.706,872,2705,3577,1742,588,469,1102,1680,8460,No,East,2016-2017
Atlanta Hawks,3123,6918,0.451,729,2137,0.341,2394,4781,0.501,1484,2039,0.728,842,2793,3635,1938,672,397,1294,1491,8459,Yes,East,2016-2017
Chicago Bulls,3169,7141,0.444,623,1831,0.34,2546,5310,0.479,1474,1848,0.798,999,2797,3796,1851,643,393,1112,1455,8435,Yes,East,2016-2017
Sacramento Kings,3105,6734,0.461,737,1960,0.376,2368,4774,0.496,1483,1913,0.775,715,2652,3367,1844,627,324,1201,1667,8430,No,West,2016-2017
Philadelphia 76ers,3088,6992,0.442,831,2443,0.34,2257,4549,0.496,1393,1806,0.771,807,2706,3513,1949,692,420,1366,1793,8400,No,East,2016-2017
Detroit Pistons,3269,7282,0.449,631,1915,0.33,2638,5367,0.492,1140,1586,0.719,908,2838,3746,1732,574,310,973,1467,8309,No,East,2016-2017
Orlando Magic,3139,7133,0.44,701,2139,0.328,2438,4994,0.488,1309,1753,0.747,807,2734,3541,1820,580,396,1091,1584,8288,No,East,2016-2017
Utah Jazz,3033,6515,0.466,791,2128,0.372,2242,4387,0.511,1401,1875,0.747,771,2774,3545,1651,550,410,1118,1545,8258,Yes,West,2016-2017
Memphis Grizzlies,2984,6854,0.435,767,2169,0.354,2217,4685,0.473,1504,1918,0.784,886,2621,3507,1744,653,344,1059,1840,8239,Yes,West,2016-2017
Dallas Mavericks,2968,6750,0.44,878,2473,0.355,2090,4277,0.489,1215,1516,0.801,647,2516,3163,1705,614,307,972,1567,8029,No,West,2016-2017
Golden State Warriors,3489,7159,0.487,1077,2592,0.416,2412,4567,0.528,1366,1790,0.763,816,2972,3788,2373,689,498,1245,1701,9421,Yes,West,2015-2016
